week_number,week_start,week_start_utc,week_end_exclusive_utc,boundary_post_id,entrant_count,valid_entry_posts
1,2025-09-29,2025-09-29T15:28:00.000Z,2025-10-05T18:05:00.000Z,11511091,51,52
2,2025-10-05,2025-10-05T18:05:00.000Z,2025-10-12T17:05:00.000Z,11511467,34,34
3,2025-10-12,2025-10-12T17:05:00.000Z,2025-10-19T17:04:00.000Z,11511707,36,36
4,2025-10-19,2025-10-19T17:04:00.000Z,2025-10-26T18:10:00.000Z,11512039,35,36
5,2025-10-26,2025-10-26T18:10:00.000Z,2025-11-02T18:04:00.000Z,11512297,41,42
6,2025-11-02,2025-11-02T18:04:00.000Z,2025-11-09T19:39:00.000Z,11512716,35,35
7,2025-11-09,2025-11-09T19:39:00.000Z,2025-11-16T18:12:00.000Z,11513205,31,32
8,2025-11-16,2025-11-16T18:12:00.000Z,2025-11-23T18:05:00.000Z,11513587,43,44
9,2025-11-23,2025-11-23T18:05:00.000Z,2025-11-30T18:03:00.000Z,11514001,30,30
10,2025-11-30,2025-11-30T18:03:00.000Z,2025-12-07T18:11:00.000Z,11514451,40,40
11,2025-12-07,2025-12-07T18:11:00.000Z,2025-12-21T18:11:00.000Z,11515195,63,96
12,2025-12-21,2025-12-21T18:11:00.000Z,2025-12-28T19:32:00.000Z,11516613,68,75
13,2025-12-28,2025-12-28T19:32:00.000Z,2026-01-04T18:05:00.000Z,11518147,45,47
14,2026-01-04,2026-01-04T18:05:00.000Z,2026-01-11T17:48:00.000Z,11519607,47,48
15,2026-01-11,2026-01-11T17:48:00.000Z,2026-01-18T18:27:00.000Z,11521210,48,48
16,2026-01-18,2026-01-18T18:27:00.000Z,2026-01-25T18:34:00.000Z,11523010,49,51
17,2026-01-25,2026-01-25T18:34:00.000Z,2026-02-01T18:02:00.000Z,11524472,45,47
18,2026-02-01,2026-02-01T18:02:00.000Z,2026-02-09T04:08:00.000Z,11525165,44,44
19,2026-02-09,2026-02-09T04:08:00.000Z,,11525965,30,30
